City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
416,kupang,-10.1667,123.5833,26.89,85,100,3.98,ID,1706310857
417,shakiso,5.75,38.9167,19.27,56,92,1.24,ET,1706310857
418,dryden,49.7833,-92.7503,-1.84,93,100,4.12,CA,1706310858
419,taksimo,56.3444,114.8794,-17.77,97,100,0.68,RU,1706310858
420,hilo,19.7297,-155.09,28.95,67,0,6.17,US,1706310737
421,darwin,-12.4611,130.8418,28.3,85,75,4.63,AU,1706310596
422,stornoway,58.2093,-6.3865,8.98,83,100,10.29,GB,1706310859
423,klyuchi,52.2667,79.1667,-11.71,90,99,2.98,RU,1706310859
424,sisimiut,66.9395,-53.6735,-17.91,98,100,2.16,GL,1706310860
425,burabay,53.0838,70.3138,-9.86,94,99,5.38,KZ,1706310860
426,atherton,53.5237,-2.4935,7.46,89,12,3.42,GB,1706310861
427,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-15.73,99,98,2.76,RU,1706310861
428,yorkton,51.2167,-102.4677,-3.09,93,0,1.54,CA,1706310861
429,christchurch,-43.5333,172.6333,29.67,27,19,10.29,NZ,1706310731
430,peterhead,57.5058,-1.7981,7.22,86,100,10.75,GB,1706310862
431,trunovskoye,45.4878,42.1358,-0.28,78,100,3.41,RU,1706310862
432,al khawr,25.7667,51.3167,20.57,64,100,4.93,QA,1706310862
433,amasra,41.7463,32.3863,5.07,88,100,4.55,TR,1706310863
434,sarpang,26.864,90.2674,10.88,64,49,1.95,BT,1706310863
435,ewarton,18.1808,-77.0766,26.71,91,74,1.17,JM,1706310863
436,konarka,19.9,86.1167,15.22,65,19,3.33,IN,1706310864
437,marsa alam,25.0757,34.8918,16.7,43,4,6.87,EG,1706310864
438,nizhneudinsk,54.9076,99.0276,-19.25,96,35,0.99,RU,1706310864
439,alo,7.4178,6.7371,26.02,20,24,1.37,NG,1706310865
440,aleg,17.0481,-13.9209,23.46,9,13,5.16,MR,1706310865
441,kirakira,-10.4544,161.9205,27.88,81,100,4.66,SB,1706310866
442,lucapa,-8.4192,20.7447,19.16,98,100,0.68,AO,1706310866
443,rio grande,-32.035,-52.0986,23.06,70,74,6.21,BR,1706310866
